Age,Gender,Occupation,What is your monthly income?,Which of the following brands of sportswear do you prefer?,Why do you choose the brand over others?,What type of products do you buy most often?,How much money do you usually spend on the brands selected?,What colour do you usually prefer to buy?,How often do you buy sportswear?,What is the purpose of your activewear?,Will you repurchase if the price of the products you purchased have increases?,Are you loyal to the same brand of sportswear when purchasing?,"Does the ""brand image"" affect your buying decision?",Does the brand ambassador affect your buying decision?,What do you consider the most influential motive when you purchase a sports clothing item?,What factors influenced you to switch brands?,Where do you usually buy sportswear?,Where do you seek information considering available offers of sportswear?,adjusted_age
50,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
49,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
50,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
47,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
31,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
43,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
34,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
38,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
30,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
42,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
43,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
50,Male,Employee,RM 4850 - RM 10959,Adidas,Stylish,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
30,Male,Employee,RM 4850 - RM 10959,Nike,Stylish,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
48,Male,Employee,RM 4850 - RM 10959,Adidas,Stylish,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
37,Female,Employee,RM 4850 - RM 10959,Asics,Quality,Shorts,RM 0 - RM 249,Both accepted,Once per year,Walking,No,No,No,No,Price,Quality,Always on the Internet,Websites of producers,31-40
43,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
47,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
36,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
35,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
37,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
32,Male,Self-employed,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
32,Male,Self-employed,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
